#year	doy	hr	Fe1p2	Fe130
1991	23	16	0.45179	3.5559
1991	23	17	0.45179	3.5714
1991	23	18	0.49415	3.4651
1991	23	19	0.49415	3.4427
1991	23	20	0.53148	3.5985
1991	23	21	0.53148	3.6479
1991	23	22	0.59770	3.5985
1991	23	23	0.62839	3.5084
1991	24	0	0.56585	3.6185
1991	24	1	0.45179	4.1050
1991	24	2	0.35603	4.0825
1991	24	3	0.15229	3.6932
1991	24	4	0.15229	3.6285
1991	24	5	0.053078	3.6566
1991	24	6	0.053078	3.6279
1991	24	7	0.053078	3.4805
1991	24	8	-0.070581	3.6300
1991	24	9	0.053078	3.7761
1991	24	10	0.053078	3.5659
1991	24	11	-0.0043648	3.6287
1991	24	12	-0.070581	3.8983
1991	24	13	0.053078	3.7286
1991	24	14	-0.070581	3.5901
1991	24	15	0.053078	3.6001
1991	24	16	-0.070581	3.9980
1991	24	17	0.053078	5.2448
1991	24	18	0.35603	5.0833
1991	24	19	0.53148	4.8348
1991	24	20	0.59770	4.7402
1991	24	21	0.62839	4.6647
1991	24	22	0.54900	4.6890
1991	24	23	0.56585	4.6186
1991	25	0	0.49415	4.5525
1991	25	1	0.49415	4.5874
1991	25	2	0.45179	4.5994
1991	25	3	0.45179	4.5984
1991	25	4	0.49415	4.6209
1991	25	5	0.49415	4.5862
1991	25	6	0.45179	4.5320
1991	25	7	0.45179	4.4853
1991	25	8	0.40654	4.4008
1991	25	9	0.40654	4.3326
1991	25	10	0.23045	4.2094
1991	25	11	0.23045	4.1661
1991	25	12	0.23045	3.9882
1991	25	13	0.29667	4.0920
1991	25	14	0.40654	4.0871
1991	25	15	0.35603	4.0699
1991	25	16	0.35603	4.2145
1991	25	17	0.29667	4.0697
1991	25	18	0.053078	4.5686
1991	25	19	0.23045	4.8980
1991	25	20	0.23045	4.4528
1991	25	21	0.23045	4.4093
1991	25	22	0.15229	4.3716
1991	25	23	0.23045	4.3433
1991	26	0	0.23045	4.2815
1991	26	1	0.15229	4.2542
1991	26	2	0.15229	4.1971
1991	26	3	0.15229	4.1508
1991	26	4	0.15229	4.0560
1991	26	5	0.15229	3.9548
1991	26	6	0.10380	3.9393
1991	26	7	0.23045	4.0765
1991	26	8	0.23045	4.0465
1991	26	9	0.15229	3.9387
1991	26	10	0.15229	3.8662
1991	26	11	0.23045	3.9103
1991	26	12	0.29667	3.9627
1991	26	13	0.35603	3.9591
1991	26	14	0.35603	4.0106
1991	26	15	0.35603	4.0540
1991	26	16	0.45179	4.0216
1991	26	17	0.53148	4.0594
1991	26	18	0.53148	4.0519
1991	26	19	0.56585	4.0157
1991	26	20	0.59770	4.0064
1991	26	21	0.62839	4.2719
1991	26	22	0.68215	4.2285
1991	26	23	0.68215	4.0864
1991	27	0	0.70757	4.0051
1991	27	1	0.70757	3.9751
1991	27	2	0.68215	3.9579
1991	27	3	0.68215	3.9278
1991	27	4	0.65610	3.9315
1991	27	5	0.65610	3.9968
1991	27	6	0.74194	4.0280
1991	27	7	0.77452	4.0323
1991	27	8	0.77452	4.0229
1991	27	9	0.75282	4.0116
1991	27	10	0.70757	4.0023
1991	27	11	0.68215	3.9844
1991	27	12	0.59770	3.9459
1991	27	13	0.56585	3.9439
1991	27	14	0.59770	4.0006
1991	27	15	0.62839	3.9368
1991	27	16	0.68215	3.8823
1991	27	17	0.73078	3.9094
1991	27	18	0.75282	3.8993
1991	27	19	0.73078	3.9319
1991	27	20	0.75282	4.0255
1991	27	21	0.86688	4.4057
1991	27	22	0.89927	4.2029
1991	27	23	0.89927	4.1593
1991	28	0	0.94349	4.1184
1991	28	1	0.89927	4.1436
1991	28	2	0.91434	4.1923
1991	28	3	0.86688	4.1145
1991	28	4	0.83251	4.1301
1991	28	5	0.73078	4.1430
1991	28	6	0.70757	4.1953
1991	28	7	0.68215	4.1710
1991	28	8	0.65610	4.1154
1991	28	9	0.68215	4.1172
1991	28	10	0.65610	4.0898
1991	28	11	0.70757	4.1606
1991	28	12	0.71933	4.1110
1991	28	13	0.70757	4.1034
1991	28	14	0.75282	4.1186
1991	28	15	0.77452	4.1036
1991	28	16	0.79449	4.1149
1991	28	17	0.88366	4.1358
1991	28	18	0.86688	4.1001
1991	28	19	0.86688	4.0914
1991	28	20	0.89154	4.0858
1991	28	21	0.86688	4.0595
1991	28	22	0.89927	4.0465
1991	28	23	0.86688	4.0139
1991	29	0	0.88366	3.9574
1991	29	1	0.84136	3.9353
1991	29	2	0.81358	3.9178
1991	29	3	0.77452	3.9153
1991	29	4	0.75282	3.8788
1991	29	5	0.70757	3.9043
1991	29	6	0.62839	3.8523
1991	29	7	0.62839	3.8390
1991	29	8	0.62839	3.8787
1991	29	9	0.65610	3.8108
1991	29	10	0.62839	3.8004
1991	29	11	0.58206	3.7400
1991	29	12	0.56585	3.7427
1991	29	13	0.68215	3.7929
1991	29	14	0.70757	3.8068
1991	29	15	0.75282	3.8136
1991	29	16	0.79449	3.8255
1991	29	17	0.79449	3.8108
1991	29	18	0.83251	3.8214
1991	29	19	0.86688	3.8334
1991	29	20	0.88366	3.8354
1991	29	21	0.88366	3.8200
1991	29	22	0.86688	3.7973
1991	29	23	0.85003	3.7961
1991	30	0	0.85003	3.7525
1991	30	1	0.82282	3.7353
1991	30	2	0.83251	3.7414
1991	30	3	0.81358	3.7289
1991	30	4	0.75282	3.6896
1991	30	5	0.70757	3.6915
1991	30	6	0.70757	3.6825
1991	30	7	0.62839	3.6468
1991	30	8	0.62839	3.6406
1991	30	9	0.59770	3.6283
1991	30	10	0.59770	3.6067
1991	30	11	0.59770	3.6143
1991	30	12	0.62839	3.6253
1991	30	13	0.62839	3.6394
1991	30	14	0.62839	3.6558
1991	30	15	0.64246	3.6499
1991	30	16	0.59770	3.7390
1991	30	17	0.56585	3.6231
1991	30	18	0.56585	3.5971
1991	30	19	0.53148	3.5887
1991	30	20	0.45179	3.4689
1991	30	21	0.45179	3.4492
1991	30	22	0.49415	3.4695
1991	30	23	0.49415	3.4889
1991	31	0	0.49415	3.5361
1991	31	1	0.53148	3.5518
1991	31	2	0.49415	3.5132
1991	31	3	0.45179	3.6546
1991	31	4	0.35603	3.7306
1991	31	5	0.29667	3.4974
1991	31	6	0.52375	3.5403
1991	31	7	0.63347	3.4520
1991	31	8	0.34635	3.0071
1991	31	9	0.23553	3.1206
1991	31	10	0.25285	3.4809
1991	31	11	0.25285	3.6008
1991	31	12	0.20140	3.6658
1991	31	13	0.29885	3.6477
1991	31	14	0.22011	3.6634
1991	31	15	0.18752	3.6033
1991	31	16	0.20140	3.8531
1991	31	17	0.15229	3.9104
1991	31	18	0.20140	3.8105
1991	31	19	0.23045	3.8734
1991	31	20	0.23045	3.7050
1991	31	21	0.23045	3.7906
1991	31	22	0.23045	3.7900
1991	31	23	0.15229	3.8091
1991	32	0	0.15229	3.6813
1991	32	1	0.15229	3.7834
